[kbplacer_plugin_action.py:65]: Plugin version: 0.13
[kbplacer_plugin_action.py:66]: Python version: '3.11.5 (main, Jun 15 2025, 06:45:45) [MSC v.1942 64 bit (AMD64)]'
[kbplacer_plugin_action.py:67]: KiCad version: 9.0.3 with 4.2.2 msw (phoenix) wxWidgets 3.2.8
[kbplacer_dialog.py:586]: Language: en
[kbplacer_plugin_action.py:75]: GUI state: {"layout_path": "C:\\Users\\3maar\\Downloads\\keyboard-layout.json", "key_distance": [19.05, 19.05], "key_info": {"annotation_format": "S{}", "position_option": "Default", "position": {"x": 0.0, "y": 0.0, "orientation": 0.0, "side": "Front"}, "template_path": ""}, "enable_diode_placement": true, "route_switches_with_diodes": true, "optimize_diodes_orientation": false, "diode_info": {"annotation_format": "D{}", "position_option": "Default", "position": {"x": 5.08, "y": 3.03, "orientation": 90.0, "side": "Back"}, "template_path": ""}, "additional_elements": [], "route_rows_and_columns": true, "template_path": "", "generate_outline": false, "outline_delta": 0.0}
[key_placer.py:362]: Set key 1U distance: 19050000/19050000
[key_placer.py:124]: Switches by nets: defaultdict(<class 'list'>, {frozenset({'Column 12', 'Row 4'}): ['S61'], frozenset({'Row 4', 'Column 11'}): ['S60'], frozenset({'Column 10', 'Row 4'}): ['S59'], frozenset({'Column 9', 'Row 4'}): ['S58'], frozenset({'Row 4', 'Column 3'}): ['S57'], frozenset({'Column 2', 'Row 4'}): ['S56'], frozenset({'Column 1', 'Row 4'}): ['S55'], frozenset({'Column 0', 'Row 4'}): ['S54'], frozenset({'Row 3', 'Column 11'}): ['S53'], frozenset({'Row 3', 'Column 10'}): ['S52'], frozenset({'Column 9', 'Row 3'}): ['S51'], frozenset({'Row 3', 'Column 8'}): ['S50'], frozenset({'Row 3', 'Column 7'}): ['S49'], frozenset({'Row 3', 'Column 6'}): ['S48'], frozenset({'Row 3', 'Column 5'}): ['S47'], frozenset({'Column 4', 'Row 3'}): ['S46'], frozenset({'Row 3', 'Column 3'}): ['S45'], frozenset({'Column 2', 'Row 3'}): ['S44'], frozenset({'Row 3', 'Column 1'}): ['S43'], frozenset({'Row 3', 'Column 0'}): ['S42'], frozenset({'Row 2', 'Column 12'}): ['S41'], frozenset({'Row 2', 'Column 11'}): ['S40'], frozenset({'Row 2', 'Column 10'}): ['S39'], frozenset({'Row 2', 'Column 9'}): ['S38'], frozenset({'Row 2', 'Column 8'}): ['S37'], frozenset({'Row 2', 'Column 7'}): ['S36'], frozenset({'Row 2', 'Column 6'}): ['S35'], frozenset({'Row 2', 'Column 5'}): ['S34'], frozenset({'Row 2', 'Column 4'}): ['S33'], frozenset({'Row 2', 'Column 3'}): ['S32'], frozenset({'Column 2', 'Row 2'}): ['S31'], frozenset({'Row 2', 'Column 1'}): ['S30'], frozenset({'Row 2', 'Column 0'}): ['S29'], frozenset({'Row 1', 'Column 13'}): ['S28'], frozenset({'Column 12', 'Row 1'}): ['S27'], frozenset({'Row 1', 'Column 11'}): ['S26'], frozenset({'Row 1', 'Column 10'}): ['S25'], frozenset({'Column 9', 'Row 1'}): ['S24'], frozenset({'Row 1', 'Column 8'}): ['S23'], frozenset({'Row 1', 'Column 7'}): ['S22'], frozenset({'Row 1', 'Column 6'}): ['S21'], frozenset({'Row 1', 'Column 5'}): ['S20'], frozenset({'Column 4', 'Row 1'}): ['S19'], frozenset({'Row 1', 'Column 3'}): ['S18'], frozenset({'Column 2', 'Row 1'}): ['S17'], frozenset({'Row 1', 'Column 1'}): ['S16'], frozenset({'Row 1', 'Column 0'}): ['S15'], frozenset({'Row 0', 'Column 13'}): ['S14'], frozenset({'Column 12', 'Row 0'}): ['S13'], frozenset({'Row 0', 'Column 11'}): ['S12'], frozenset({'Row 0', 'Column 10'}): ['S11'], frozenset({'Row 0', 'Column 9'}): ['S10'], frozenset({'Row 0', 'Column 8'}): ['S9'], frozenset({'Row 0', 'Column 7'}): ['S8'], frozenset({'Row 0', 'Column 6'}): ['S7'], frozenset({'Row 0', 'Column 5'}): ['S6'], frozenset({'Row 0', 'Column 4'}): ['S5'], frozenset({'Row 0', 'Column 3'}): ['S4'], frozenset({'Column 2', 'Row 0'}): ['S3'], frozenset({'Row 0', 'Column 1'}): ['S2'], frozenset({'Row 0', 'Column 0'}): ['S1']})
[key_placer.py:128]: Diodes by switch: {'S61': ['D66'], 'S60': ['D65'], 'S59': ['D63'], 'S58': ['D62'], 'S57': ['D61'], 'S56': ['D59'], 'S55': ['D58'], 'S54': ['D57'], 'S53': ['D55'], 'S52': ['D54'], 'S51': ['D53'], 'S50': ['D51'], 'S49': ['D50'], 'S48': ['D49'], 'S47': ['D47'], 'S46': ['D46'], 'S45': ['D45'], 'S44': ['D44'], 'S43': ['D43'], 'S42': ['D42'], 'S41': ['D41'], 'S40': ['D40'], 'S39': ['D39'], 'S38': ['D38'], 'S37': ['D37'], 'S36': ['D36'], 'S35': ['D35'], 'S34': ['D34'], 'S33': ['D33'], 'S32': ['D32'], 'S31': ['D31'], 'S30': ['D30'], 'S29': ['D29'], 'S28': ['D28'], 'S27': ['D27'], 'S26': ['D26'], 'S25': ['D25'], 'S24': ['D24'], 'S23': ['D23'], 'S22': ['D22'], 'S21': ['D21'], 'S20': ['D20'], 'S19': ['D19'], 'S18': ['D18'], 'S17': ['D17'], 'S16': ['D16'], 'S15': ['D15'], 'S14': ['D14'], 'S13': ['D13'], 'S12': ['D12'], 'S11': ['D11'], 'S10': ['D10'], 'S9': ['D9'], 'S8': ['D8'], 'S7': ['D7'], 'S6': ['D6'], 'S5': ['D5'], 'S4': ['D4'], 'S3': ['D3'], 'S2': ['D2'], 'S1': ['D1']}
[kle_serial.py:897]: User layout: [['~\n`', '!\n1', '@\n2', '#\n3', '$\n4', '%\n5', '^\n6', '&\n7', '*\n8', '(\n9', ')\n0', '_\n-', '+\n=', {'w': 2}, 'Backspace'], [{'w': 1.5}, 'Tab', 'Q', 'W', 'E', 'R', 'T', 'Y', 'U', 'I', 'O', 'P', '{\n[', '}\n]', {'w': 1.5}, '|\n\\'], [{'w': 1.75}, 'Caps Lock', 'A', 'S', 'D', 'F', 'G', 'H', 'J', 'K', 'L', ':\n;', '"\n\'', {'w': 2.25}, 'Enter'], [{'w': 2.25}, 'Shift', 'Z', 'X', 'C', 'V', 'B', 'N', 'M', '<\n,', '>\n.', '?\n/', {'w': 2.75}, 'Shift'], [{'w': 1.25}, 'Ctrl', {'w': 1.25}, 'Win', {'w': 1.25}, 'Alt', {'a': 7, 'w': 6.25}, '', {'a': 4, 'w': 1.25}, 'Alt', {'w': 1.25}, 'Fn', {'w': 1.25}, 'Menu', {'w': 1.25}, 'Ctrl']]
[key_placer.py:662]: Layout offset: (28575000, 28575000)
[board_modifier.py:85]: Setting S1 footprint position: (38100000, 38100000)
[board_modifier.py:85]: Setting S2 footprint position: (57150000, 38100000)
[board_modifier.py:85]: Setting S3 footprint position: (76200000, 38100000)
[board_modifier.py:85]: Setting S4 footprint position: (95250000, 38100000)
[board_modifier.py:85]: Setting S5 footprint position: (114300000, 38100000)
[board_modifier.py:85]: Setting S6 footprint position: (133350000, 38100000)
[board_modifier.py:85]: Setting S7 footprint position: (152400000, 38100000)
[board_modifier.py:85]: Setting S8 footprint position: (171450000, 38100000)
[board_modifier.py:85]: Setting S9 footprint position: (190500000, 38100000)
[board_modifier.py:85]: Setting S10 footprint position: (209550000, 38100000)
[board_modifier.py:85]: Setting S11 footprint position: (228600000, 38100000)
[board_modifier.py:85]: Setting S12 footprint position: (247650000, 38100000)
[board_modifier.py:85]: Setting S13 footprint position: (266700000, 38100000)
[board_modifier.py:85]: Setting S14 footprint position: (295275000, 38100000)
[board_modifier.py:85]: Setting S15 footprint position: (42862500, 57150000)
[board_modifier.py:85]: Setting S16 footprint position: (66675000, 57150000)
[board_modifier.py:85]: Setting S17 footprint position: (85725000, 57150000)
[board_modifier.py:85]: Setting S18 footprint position: (104775000, 57150000)
[board_modifier.py:85]: Setting S19 footprint position: (123825000, 57150000)
[board_modifier.py:85]: Setting S20 footprint position: (142875000, 57150000)
[board_modifier.py:85]: Setting S21 footprint position: (161925000, 57150000)
[board_modifier.py:85]: Setting S22 footprint position: (180975000, 57150000)
[board_modifier.py:85]: Setting S23 footprint position: (200025000, 57150000)
[board_modifier.py:85]: Setting S24 footprint position: (219075000, 57150000)
[board_modifier.py:85]: Setting S25 footprint position: (238125000, 57150000)
[board_modifier.py:85]: Setting S26 footprint position: (257175000, 57150000)
[board_modifier.py:85]: Setting S27 footprint position: (276225000, 57150000)
[board_modifier.py:85]: Setting S28 footprint position: (300037500, 57150000)
[board_modifier.py:85]: Setting S29 footprint position: (45243750, 76200000)
[board_modifier.py:85]: Setting S30 footprint position: (71437500, 76200000)
[board_modifier.py:85]: Setting S31 footprint position: (90487500, 76200000)
[board_modifier.py:85]: Setting S32 footprint position: (109537500, 76200000)
[board_modifier.py:85]: Setting S33 footprint position: (128587500, 76200000)
[board_modifier.py:85]: Setting S34 footprint position: (147637500, 76200000)
[board_modifier.py:85]: Setting S35 footprint position: (166687500, 76200000)
[board_modifier.py:85]: Setting S36 footprint position: (185737500, 76200000)
[board_modifier.py:85]: Setting S37 footprint position: (204787500, 76200000)
[board_modifier.py:85]: Setting S38 footprint position: (223837500, 76200000)
[board_modifier.py:85]: Setting S39 footprint position: (242887500, 76200000)
[board_modifier.py:85]: Setting S40 footprint position: (261937500, 76200000)
[board_modifier.py:85]: Setting S41 footprint position: (292893750, 76200000)
[board_modifier.py:85]: Setting S42 footprint position: (50006250, 95250000)
[board_modifier.py:85]: Setting S43 footprint position: (80962500, 95250000)
[board_modifier.py:85]: Setting S44 footprint position: (100012500, 95250000)
[board_modifier.py:85]: Setting S45 footprint position: (119062500, 95250000)
[board_modifier.py:85]: Setting S46 footprint position: (138112500, 95250000)
[board_modifier.py:85]: Setting S47 footprint position: (157162500, 95250000)
[board_modifier.py:85]: Setting S48 footprint position: (176212500, 95250000)
[board_modifier.py:85]: Setting S49 footprint position: (195262500, 95250000)
[board_modifier.py:85]: Setting S50 footprint position: (214312500, 95250000)
[board_modifier.py:85]: Setting S51 footprint position: (233362500, 95250000)
[board_modifier.py:85]: Setting S52 footprint position: (252412500, 95250000)
[board_modifier.py:85]: Setting S53 footprint position: (288131250, 95250000)
[board_modifier.py:85]: Setting S54 footprint position: (40481250, 114300000)
[board_modifier.py:85]: Setting S55 footprint position: (64293750, 114300000)
[board_modifier.py:85]: Setting S56 footprint position: (88106250, 114300000)
[board_modifier.py:85]: Setting S57 footprint position: (159543750, 114300000)
[board_modifier.py:85]: Setting S58 footprint position: (230981250, 114300000)
[board_modifier.py:85]: Setting S59 footprint position: (254793750, 114300000)
[board_modifier.py:85]: Setting S60 footprint position: (278606250, 114300000)
[board_modifier.py:85]: Setting S61 footprint position: (302418750, 114300000)
[key_placer.py:999]: Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.DEFAULT: 'Default'>, position=ElementPosition(x=5.08, y=3.03, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='')]
[board_modifier.py:98]: Getting S1 footprint position: (38100000, 38100000)
[board_modifier.py:85]: Setting D1 footprint position: (43180000, 41130000)
[board_modifier.py:98]: Getting S2 footprint position: (57150000, 38100000)
[board_modifier.py:85]: Setting D2 footprint position: (62230000, 41130000)
[board_modifier.py:98]: Getting S3 footprint position: (76200000, 38100000)
[board_modifier.py:85]: Setting D3 footprint position: (81280000, 41130000)
[board_modifier.py:98]: Getting S4 footprint position: (95250000, 38100000)
[board_modifier.py:85]: Setting D4 footprint position: (100330000, 41130000)
[board_modifier.py:98]: Getting S5 footprint position: (114300000, 38100000)
[board_modifier.py:85]: Setting D5 footprint position: (119380000, 41130000)
[board_modifier.py:98]: Getting S6 footprint position: (133350000, 38100000)
[board_modifier.py:85]: Setting D6 footprint position: (138430000, 41130000)
[board_modifier.py:98]: Getting S7 footprint position: (152400000, 38100000)
[board_modifier.py:85]: Setting D7 footprint position: (157480000, 41130000)
[board_modifier.py:98]: Getting S8 footprint position: (171450000, 38100000)
[board_modifier.py:85]: Setting D8 footprint position: (176530000, 41130000)
[board_modifier.py:98]: Getting S9 footprint position: (190500000, 38100000)
[board_modifier.py:85]: Setting D9 footprint position: (195580000, 41130000)
[board_modifier.py:98]: Getting S10 footprint position: (209550000, 38100000)
[board_modifier.py:85]: Setting D10 footprint position: (214630000, 41130000)
[board_modifier.py:98]: Getting S11 footprint position: (228600000, 38100000)
[board_modifier.py:85]: Setting D11 footprint position: (233680000, 41130000)
[board_modifier.py:98]: Getting S12 footprint position: (247650000, 38100000)
[board_modifier.py:85]: Setting D12 footprint position: (252730000, 41130000)
[board_modifier.py:98]: Getting S13 footprint position: (266700000, 38100000)
[board_modifier.py:85]: Setting D13 footprint position: (271780000, 41130000)
[board_modifier.py:98]: Getting S14 footprint position: (295275000, 38100000)
[board_modifier.py:85]: Setting D14 footprint position: (300355000, 41130000)
[board_modifier.py:98]: Getting S15 footprint position: (42862500, 57150000)
[board_modifier.py:85]: Setting D15 footprint position: (47942500, 60180000)
[board_modifier.py:98]: Getting S16 footprint position: (66675000, 57150000)
[board_modifier.py:85]: Setting D16 footprint position: (71755000, 60180000)
[board_modifier.py:98]: Getting S17 footprint position: (85725000, 57150000)
[board_modifier.py:85]: Setting D17 footprint position: (90805000, 60180000)
[board_modifier.py:98]: Getting S18 footprint position: (104775000, 57150000)
